file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
../adapter-removed/CM1.trimmed_1.fastq	FASTQ	DNA	131195	29508931	4	224.9	225
../adapter-removed/CM1.trimmed_2.fastq	FASTQ	DNA	131195	29384414	3	224.0	224
../adapter-removed/CM10.trimmed_1.fastq	FASTQ	DNA	136781	30720019	3	224.6	225
../adapter-removed/CM10.trimmed_2.fastq	FASTQ	DNA	136781	30634482	6	224.0	224
../adapter-removed/CM11.trimmed_1.fastq	FASTQ	DNA	140277	31524728	3	224.7	225
../adapter-removed/CM11.trimmed_2.fastq	FASTQ	DNA	140277	31419037	2	224.0	224
../adapter-removed/CM12.trimmed_1.fastq	FASTQ	DNA	136349	30610148	1	224.5	225
../adapter-removed/CM12.trimmed_2.fastq	FASTQ	DNA	136349	30538728	6	224.0	224
../adapter-removed/CM13.trimmed_1.fastq	FASTQ	DNA	144557	32477262	3	224.7	225
../adapter-removed/CM13.trimmed_2.fastq	FASTQ	DNA	144557	32376515	4	224.0	224
../adapter-removed/CM14.trimmed_1.fastq	FASTQ	DNA	130212	29263743	3	224.7	225
../adapter-removed/CM14.trimmed_2.fastq	FASTQ	DNA	130212	29165109	3	224.0	224
../adapter-removed/CM15.trimmed_1.fastq	FASTQ	DNA	139810	31423122	3	224.8	225
../adapter-removed/CM15.trimmed_2.fastq	FASTQ	DNA	139810	31314031	2	224.0	224
../adapter-removed/CM16.trimmed_1.fastq	FASTQ	DNA	140248	31531328	2	224.8	225
../adapter-removed/CM16.trimmed_2.fastq	FASTQ	DNA	140248	31408308	3	223.9	224
../adapter-removed/CM17.trimmed_1.fastq	FASTQ	DNA	79400	17123011	2	215.7	225
../adapter-removed/CM17.trimmed_2.fastq	FASTQ	DNA	79400	17043251	3	214.7	224
../adapter-removed/CM18.trimmed_1.fastq	FASTQ	DNA	109487	24614697	3	224.8	225
../adapter-removed/CM18.trimmed_2.fastq	FASTQ	DNA	109487	24521543	2	224.0	224
../adapter-removed/CM19.trimmed_1.fastq	FASTQ	DNA	136589	30682751	3	224.6	225
../adapter-removed/CM19.trimmed_2.fastq	FASTQ	DNA	136589	30594090	23	224.0	224
../adapter-removed/CM2.trimmed_1.fastq	FASTQ	DNA	111275	25030201	4	224.9	225
../adapter-removed/CM2.trimmed_2.fastq	FASTQ	DNA	111275	24922519	3	224.0	224
../adapter-removed/CM20.trimmed_1.fastq	FASTQ	DNA	144384	32464224	3	224.8	225
../adapter-removed/CM20.trimmed_2.fastq	FASTQ	DNA	144384	32340981	3	224.0	224
../adapter-removed/CM21.trimmed_1.fastq	FASTQ	DNA	136513	30682031	3	224.8	225
../adapter-removed/CM21.trimmed_2.fastq	FASTQ	DNA	136513	30575848	3	224.0	224
../adapter-removed/CM22.trimmed_1.fastq	FASTQ	DNA	116732	26246991	3	224.8	225
../adapter-removed/CM22.trimmed_2.fastq	FASTQ	DNA	116732	26144944	6	224.0	224
../adapter-removed/CM23.trimmed_1.fastq	FASTQ	DNA	146126	32877012	1	225.0	225
../adapter-removed/CM23.trimmed_2.fastq	FASTQ	DNA	146126	32729943	0	224.0	224
../adapter-removed/CM24.trimmed_1.fastq	FASTQ	DNA	63222	14203220	3	224.7	225
../adapter-removed/CM24.trimmed_2.fastq	FASTQ	DNA	63222	14160521	6	224.0	224
../adapter-removed/CM25.trimmed_1.fastq	FASTQ	DNA	140560	31601266	3	224.8	225
../adapter-removed/CM25.trimmed_2.fastq	FASTQ	DNA	140560	31483062	3	224.0	224
../adapter-removed/CM26.trimmed_1.fastq	FASTQ	DNA	125290	28170921	3	224.8	225
../adapter-removed/CM26.trimmed_2.fastq	FASTQ	DNA	125290	28060632	3	224.0	224
../adapter-removed/CM27.trimmed_1.fastq	FASTQ	DNA	120904	27188528	3	224.9	225
../adapter-removed/CM27.trimmed_2.fastq	FASTQ	DNA	120904	27080358	3	224.0	224
../adapter-removed/CM28.trimmed_1.fastq	FASTQ	DNA	143151	32203212	2	225.0	225
../adapter-removed/CM28.trimmed_2.fastq	FASTQ	DNA	143151	32060221	3	224.0	224
../adapter-removed/CM29.trimmed_1.fastq	FASTQ	DNA	130533	29366437	2	225.0	225
../adapter-removed/CM29.trimmed_2.fastq	FASTQ	DNA	130533	29235053	3	224.0	224
../adapter-removed/CM3.trimmed_1.fastq	FASTQ	DNA	126915	28548065	4	224.9	225
../adapter-removed/CM3.trimmed_2.fastq	FASTQ	DNA	126915	28427590	3	224.0	224
../adapter-removed/CM30.trimmed_1.fastq	FASTQ	DNA	132896	29898198	4	225.0	225
../adapter-removed/CM30.trimmed_2.fastq	FASTQ	DNA	132896	29762819	2	224.0	224
../adapter-removed/CM31.trimmed_1.fastq	FASTQ	DNA	112054	25208335	2	225.0	225
../adapter-removed/CM31.trimmed_2.fastq	FASTQ	DNA	112054	25095716	4	224.0	224
../adapter-removed/CM32.trimmed_1.fastq	FASTQ	DNA	141553	31842600	2	225.0	225
../adapter-removed/CM32.trimmed_2.fastq	FASTQ	DNA	141553	31702793	2	224.0	224
../adapter-removed/CM33.trimmed_1.fastq	FASTQ	DNA	145677	32773528	2	225.0	225
../adapter-removed/CM33.trimmed_2.fastq	FASTQ	DNA	145677	32629749	4	224.0	224
../adapter-removed/CM34.trimmed_1.fastq	FASTQ	DNA	139319	31341973	1	225.0	225
../adapter-removed/CM34.trimmed_2.fastq	FASTQ	DNA	139319	31194667	3	223.9	224
../adapter-removed/CM35.trimmed_1.fastq	FASTQ	DNA	131534	29590465	27	225.0	225
../adapter-removed/CM35.trimmed_2.fastq	FASTQ	DNA	131534	29449535	3	223.9	224
../adapter-removed/CM36.trimmed_1.fastq	FASTQ	DNA	101953	22741836	1	223.1	225
../adapter-removed/CM36.trimmed_2.fastq	FASTQ	DNA	101953	22671454	6	222.4	224
../adapter-removed/CM37.trimmed_1.fastq	FASTQ	DNA	146154	32879653	2	225.0	225
../adapter-removed/CM37.trimmed_2.fastq	FASTQ	DNA	146154	32732186	4	224.0	224
../adapter-removed/CM38.trimmed_1.fastq	FASTQ	DNA	111994	25191657	2	224.9	225
../adapter-removed/CM38.trimmed_2.fastq	FASTQ	DNA	111994	25078402	3	223.9	224
../adapter-removed/CM39.trimmed_1.fastq	FASTQ	DNA	121306	27289598	4	225.0	225
../adapter-removed/CM39.trimmed_2.fastq	FASTQ	DNA	121306	27169249	3	224.0	224
