"denoisedF"	"denoisedR"	"merged"	"nonchim"
"M1"	109672	109576	98496	85873
"M10"	109325	109152	99427	84791
"M100"	132723	132706	118540	102925
"M101"	125961	125697	112101	97671
"M102"	118140	118036	103150	84895
"M103"	139234	139284	122648	103583
"M104"	127351	127357	113524	95000
"M105"	107859	107774	95178	82011
"M106"	132548	132020	117479	99116
"M107"	121368	121210	108126	90155
"M108"	105922	105656	92158	83629
"M109"	135218	134794	118470	105703
"M11"	110767	110864	99229	85786
"M110"	108123	107738	92793	81367
"M111"	121177	121023	103627	92855
"M112"	131694	131400	112823	99597
"M113"	137303	137106	118055	101500
"M114"	109759	109591	94473	84925
"M115"	127447	127530	110311	96973
"M116"	105920	105953	90934	77637
"M117"	137214	136981	117686	101066
"M118"	101071	100863	88585	80682
"M119"	126175	125915	110656	96258
"M12"	130856	131173	117761	98808
"M120"	103564	102982	90974	81792
"M121"	117677	117275	104799	92249
"M122"	138282	138422	120259	102283
"M123"	108927	108790	94833	84685
"M124"	120965	120810	105302	91030
"M125"	129014	128733	111937	95749
"M126"	99827	99864	87183	77225
"M127"	119616	119424	104631	90427
"M128"	97064	97143	83760	71628
"M129"	136245	136048	118657	100713
"M13"	120484	120447	107064	90128
"M130"	110826	110683	97495	86775
"M131"	123451	123405	108962	94220
"M132"	53716	53672	47475	42892
"M133"	39949	39882	35825	33026
"M134"	29250	29235	25528	23145
"M135"	132164	131972	116426	95673
"M136"	127737	127385	114093	96087
"M137"	121020	121095	106822	87817
"M138"	127321	126818	112548	96816
"M139"	114470	114066	101270	86864
"M14"	127738	127587	116467	99947
"M140"	106551	106493	98286	89760
"M141"	123112	122696	108986	90278
"M142"	105138	105140	94438	83461
"M143"	104560	104386	89224	75542
"M144"	133998	133658	118741	101057
"M145"	139390	139302	124938	109258
"M146"	131225	130926	116250	97420
"M147"	113823	113517	100572	85612
"M148"	109673	109528	99271	94142
"M15"	133673	133698	119716	101448
"M16"	131196	131219	120134	106441
"M17"	138429	138583	126249	111148
"M18"	109250	109279	100635	89027
"M19"	130703	130248	117371	97634
"M2"	120455	120645	109299	95756
"M20"	132220	132290	119201	107399
"M21"	112276	112072	101539	90166
"M22"	120224	120422	109134	94967
"M23"	88677	88780	79210	69985
"M24"	109796	109848	98846	86755
"M25"	109712	109687	98614	84676
"M26"	142600	142391	129668	112813
"M27"	125907	125900	114580	97646
"M28"	110683	110446	101038	90664
"M29"	142485	142350	129948	113808
"M3"	129558	129658	115987	97204
"M30"	142056	142090	131043	116511
"M31"	134347	134270	122194	101838
"M32"	131003	131005	119966	107958
"M33"	112410	112512	103197	91661
"M34"	123694	123504	112966	98031
"M35"	123698	123719	111510	97372
"M36"	139073	138643	127049	109179
"M37"	112607	112587	101447	87590
"M38"	127064	126819	113856	100004
"M39"	122211	122089	108633	95506
"M4"	141448	141438	128177	108837
"M40"	122922	122679	111242	93356
"M41"	124388	124430	120155	101974
"M42"	126461	126538	114451	97625
"M43"	114076	113548	103053	88665
"M44"	111828	111695	101104	90326
"M45"	131292	131170	117082	102653
"M46"	118270	118323	107589	96420
"M47"	120852	120786	108038	91920
"M48"	115859	115432	105924	93849
"M49"	135832	135965	124677	110962
"M5"	123745	123466	111753	95773
"M50"	110109	110012	101480	90955
"M51"	113788	113604	102067	85992
"M52"	86475	86342	77087	70435
"M53"	95380	95086	85593	73062
"M54"	70652	70453	62657	56348
"M55"	110516	110283	98782	83017
"M56"	123888	123796	111172	97247
"M57"	112614	112576	99965	87245
"M58"	120184	119671	107571	95649
"M59"	128322	128464	113767	94755
"M6"	142432	142512	130808	115900
"M60"	133891	133815	121049	105432
"M61"	122441	122329	109706	94640
"M62"	122775	122583	106315	91166
"M63"	131759	131292	114680	99887
"M64"	108554	108171	95200	80906
"M65"	132292	131848	116880	103578
"M66"	137046	136555	120326	107103
"M67"	139993	139986	121282	101145
"M68"	138302	138367	120517	103838
"M69"	123186	122831	107786	92880
"M7"	128691	129163	115976	96302
"M70"	128738	128880	113172	98550
"M71"	140344	140014	123477	107409
"M72"	137752	137144	122501	105469
"M73"	140415	140392	126477	107546
"M74"	98822	98347	85356	74729
"M75"	72576	72375	63603	57864
"M76"	76569	76441	67221	58081
"M77"	104606	104148	92992	83894
"M78"	91059	90957	80268	71820
"M79"	78346	78032	68246	58815
"M8"	115634	115893	105207	93811
"M80"	86338	86152	76114	67192
"M81"	71457	71283	62830	55992
"M82"	82591	82375	73173	65107
"M83"	107056	106414	96240	83811
"M84"	112242	112004	99920	89396
"M85"	135871	135409	117278	100746
"M86"	104820	104685	91217	81451
"M87"	105206	105146	91812	78360
"M88"	134304	133951	118365	106119
"M89"	133438	133114	116537	104555
"M9"	141360	141548	127334	109422
"M90"	108746	108577	94360	79867
"M91"	112272	112102	97160	84599
"M92"	96235	96489	83406	72305
"M93"	139824	139728	125464	114395
"M94"	126002	125690	112320	96203
"M95"	120096	119873	106900	92320
"M96"	134850	134947	124353	106508
"M97"	107127	106920	94160	79988
"M98"	118699	118825	104167	89429
"M99"	133657	133347	118502	97380
