file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
rawreads/M100_1.fq.gz	FASTQ	DNA	141867	31919932	223	225.0	225
rawreads/M100_2.fq.gz	FASTQ	DNA	141867	31777996	222	224.0	224
rawreads/M101_1.fq.gz	FASTQ	DNA	134108	30174139	217	225.0	225
rawreads/M101_2.fq.gz	FASTQ	DNA	134108	30039948	222	224.0	224
rawreads/M102_1.fq.gz	FASTQ	DNA	125626	28265713	223	225.0	225
rawreads/M102_2.fq.gz	FASTQ	DNA	125626	28139891	220	224.0	224
rawreads/M103_1.fq.gz	FASTQ	DNA	148337	33375679	224	225.0	225
rawreads/M103_2.fq.gz	FASTQ	DNA	148337	33227329	222	224.0	224
rawreads/M104_1.fq.gz	FASTQ	DNA	135086	30394188	223	225.0	225
rawreads/M104_2.fq.gz	FASTQ	DNA	135086	30259115	223	224.0	224
rawreads/M105_1.fq.gz	FASTQ	DNA	114401	25740100	223	225.0	225
rawreads/M105_2.fq.gz	FASTQ	DNA	114401	25625734	223	224.0	224
rawreads/M106_1.fq.gz	FASTQ	DNA	140438	31598394	223	225.0	225
rawreads/M106_2.fq.gz	FASTQ	DNA	140438	31457880	222	224.0	224
rawreads/M107_1.fq.gz	FASTQ	DNA	128122	28827295	223	225.0	225
rawreads/M107_2.fq.gz	FASTQ	DNA	128122	28699074	223	224.0	224
rawreads/M108_1.fq.gz	FASTQ	DNA	115422	25969748	224	225.0	225
rawreads/M108_2.fq.gz	FASTQ	DNA	115422	25854263	221	224.0	224
rawreads/M109_1.fq.gz	FASTQ	DNA	145890	32825025	224	225.0	225
rawreads/M109_2.fq.gz	FASTQ	DNA	145890	32679159	216	224.0	224
rawreads/M10_1.fq.gz	FASTQ	DNA	113904	25628242	224	225.0	225
rawreads/M10_2.fq.gz	FASTQ	DNA	113904	25514335	222	224.0	224
rawreads/M110_1.fq.gz	FASTQ	DNA	117683	26478484	224	225.0	225
rawreads/M110_2.fq.gz	FASTQ	DNA	117683	26360782	223	224.0	224
rawreads/M111_1.fq.gz	FASTQ	DNA	132298	29766864	224	225.0	225
rawreads/M111_2.fq.gz	FASTQ	DNA	132298	29634588	223	224.0	224
rawreads/M112_1.fq.gz	FASTQ	DNA	144090	32420035	223	225.0	225
rawreads/M112_2.fq.gz	FASTQ	DNA	144090	32275975	222	224.0	224
rawreads/M113_1.fq.gz	FASTQ	DNA	149130	33554015	223	225.0	225
rawreads/M113_2.fq.gz	FASTQ	DNA	149130	33404878	219	224.0	224
rawreads/M114_1.fq.gz	FASTQ	DNA	119642	26919232	223	225.0	225
rawreads/M114_2.fq.gz	FASTQ	DNA	119642	26799514	217	224.0	224
rawreads/M115_1.fq.gz	FASTQ	DNA	138794	31228429	223	225.0	225
rawreads/M115_2.fq.gz	FASTQ	DNA	138794	31089704	223	224.0	224
rawreads/M116_1.fq.gz	FASTQ	DNA	115807	26056370	223	225.0	225
rawreads/M116_2.fq.gz	FASTQ	DNA	115807	25940670	223	224.0	224
rawreads/M117_1.fq.gz	FASTQ	DNA	148549	33423291	223	225.0	225
rawreads/M117_2.fq.gz	FASTQ	DNA	148549	33274839	223	224.0	224
rawreads/M118_1.fq.gz	FASTQ	DNA	110166	24787199	223	225.0	225
rawreads/M118_2.fq.gz	FASTQ	DNA	110166	24677020	223	224.0	224
rawreads/M119_1.fq.gz	FASTQ	DNA	136399	30689584	223	225.0	225
rawreads/M119_2.fq.gz	FASTQ	DNA	136399	30553089	222	224.0	224
rawreads/M11_1.fq.gz	FASTQ	DNA	116341	26176571	223	225.0	225
rawreads/M11_2.fq.gz	FASTQ	DNA	116341	26060250	223	224.0	224
rawreads/M120_1.fq.gz	FASTQ	DNA	111963	25191524	223	225.0	225
rawreads/M120_2.fq.gz	FASTQ	DNA	111963	25079492	223	224.0	224
rawreads/M121_1.fq.gz	FASTQ	DNA	125932	28334527	221	225.0	225
rawreads/M121_2.fq.gz	FASTQ	DNA	125932	28208590	219	224.0	224
rawreads/M122_1.fq.gz	FASTQ	DNA	148704	33458161	216	225.0	225
rawreads/M122_2.fq.gz	FASTQ	DNA	148704	33309433	218	224.0	224
rawreads/M123_1.fq.gz	FASTQ	DNA	118024	26555231	224	225.0	225
rawreads/M123_2.fq.gz	FASTQ	DNA	118024	26437241	223	224.0	224
rawreads/M124_1.fq.gz	FASTQ	DNA	131020	29479305	224	225.0	225
rawreads/M124_2.fq.gz	FASTQ	DNA	131020	29348297	222	224.0	224
rawreads/M125_1.fq.gz	FASTQ	DNA	138782	31225780	224	225.0	225
rawreads/M125_2.fq.gz	FASTQ	DNA	138782	31086954	220	224.0	224
rawreads/M126_1.fq.gz	FASTQ	DNA	107977	24294671	223	225.0	225
rawreads/M126_2.fq.gz	FASTQ	DNA	107977	24186563	222	224.0	224
rawreads/M127_1.fq.gz	FASTQ	DNA	128905	29003425	224	225.0	225
rawreads/M127_2.fq.gz	FASTQ	DNA	128905	28874589	223	224.0	224
rawreads/M128_1.fq.gz	FASTQ	DNA	105154	23659493	224	225.0	225
rawreads/M128_2.fq.gz	FASTQ	DNA	105154	23554397	223	224.0	224
rawreads/M129_1.fq.gz	FASTQ	DNA	145588	32757075	223	225.0	225
rawreads/M129_2.fq.gz	FASTQ	DNA	145588	32611596	221	224.0	224
rawreads/M12_1.fq.gz	FASTQ	DNA	137170	30863094	224	225.0	225
rawreads/M12_2.fq.gz	FASTQ	DNA	137170	30725942	223	224.0	224
rawreads/M130_1.fq.gz	FASTQ	DNA	119471	26880811	224	225.0	225
rawreads/M130_2.fq.gz	FASTQ	DNA	119471	26761293	222	224.0	224
rawreads/M131_1.fq.gz	FASTQ	DNA	132257	29757627	224	225.0	225
rawreads/M131_2.fq.gz	FASTQ	DNA	132257	29625320	223	224.0	224
rawreads/M132_1.fq.gz	FASTQ	DNA	58124	13077588	223	225.0	225
rawreads/M132_2.fq.gz	FASTQ	DNA	58124	13019635	223	224.0	224
rawreads/M133_1.fq.gz	FASTQ	DNA	42929	9658804	223	225.0	225
rawreads/M133_2.fq.gz	FASTQ	DNA	42929	9616045	223	224.0	224
rawreads/M134_1.fq.gz	FASTQ	DNA	31680	7127838	224	225.0	225
rawreads/M134_2.fq.gz	FASTQ	DNA	31680	7096271	223	224.0	224
rawreads/M135_1.fq.gz	FASTQ	DNA	139748	31443017	223	225.0	225
rawreads/M135_2.fq.gz	FASTQ	DNA	139748	31303234	223	224.0	224
rawreads/M136_1.fq.gz	FASTQ	DNA	134989	30372221	220	225.0	225
rawreads/M136_2.fq.gz	FASTQ	DNA	134989	30237354	215	224.0	224
rawreads/M137_1.fq.gz	FASTQ	DNA	129421	29119461	223	225.0	225
rawreads/M137_2.fq.gz	FASTQ	DNA	129421	28990073	222	224.0	224
rawreads/M138_1.fq.gz	FASTQ	DNA	135264	30434116	223	225.0	225
rawreads/M138_2.fq.gz	FASTQ	DNA	135264	30298958	220	224.0	224
rawreads/M139_1.fq.gz	FASTQ	DNA	123070	27690494	223	225.0	225
rawreads/M139_2.fq.gz	FASTQ	DNA	123070	27567511	221	224.0	224
rawreads/M13_1.fq.gz	FASTQ	DNA	126343	28426993	223	225.0	225
rawreads/M13_2.fq.gz	FASTQ	DNA	126343	28300648	221	224.0	224
rawreads/M140_1.fq.gz	FASTQ	DNA	112796	25378868	219	225.0	225
rawreads/M140_2.fq.gz	FASTQ	DNA	112796	25266069	219	224.0	224
rawreads/M141_1.fq.gz	FASTQ	DNA	131049	29485743	221	225.0	225
rawreads/M141_2.fq.gz	FASTQ	DNA	131049	29354699	222	224.0	224
rawreads/M142_1.fq.gz	FASTQ	DNA	111520	25091760	224	225.0	225
rawreads/M142_2.fq.gz	FASTQ	DNA	111520	24980356	223	224.0	224
rawreads/M143_1.fq.gz	FASTQ	DNA	113714	25585394	223	225.0	225
rawreads/M143_2.fq.gz	FASTQ	DNA	113714	25471802	218	224.0	224
rawreads/M144_1.fq.gz	FASTQ	DNA	141986	31946549	223	225.0	225
rawreads/M144_2.fq.gz	FASTQ	DNA	141986	31804742	223	224.0	224
rawreads/M145_1.fq.gz	FASTQ	DNA	148213	33347606	223	225.0	225
rawreads/M145_2.fq.gz	FASTQ	DNA	148213	33199500	223	224.0	224
rawreads/M146_1.fq.gz	FASTQ	DNA	138198	31094263	220	225.0	225
rawreads/M146_2.fq.gz	FASTQ	DNA	138198	30956085	222	224.0	224
rawreads/M147_1.fq.gz	FASTQ	DNA	122156	27484860	223	225.0	225
rawreads/M147_2.fq.gz	FASTQ	DNA	122156	27362662	222	224.0	224
rawreads/M148_1.fq.gz	FASTQ	DNA	117709	26484303	221	225.0	225
rawreads/M148_2.fq.gz	FASTQ	DNA	117709	26366550	223	224.0	224
rawreads/M14_1.fq.gz	FASTQ	DNA	133122	29952278	223	225.0	225
rawreads/M14_2.fq.gz	FASTQ	DNA	133122	29819084	223	224.0	224
rawreads/M15_1.fq.gz	FASTQ	DNA	141183	31765630	223	225.0	225
rawreads/M15_2.fq.gz	FASTQ	DNA	141183	31624628	215	224.0	224
rawreads/M16_1.fq.gz	FASTQ	DNA	137544	30946974	223	225.0	225
rawreads/M16_2.fq.gz	FASTQ	DNA	137544	30809720	216	224.0	224
rawreads/M17_1.fq.gz	FASTQ	DNA	145766	32796853	223	225.0	225
rawreads/M17_2.fq.gz	FASTQ	DNA	145766	32651269	217	224.0	224
rawreads/M18_1.fq.gz	FASTQ	DNA	115272	25935776	217	225.0	225
rawreads/M18_2.fq.gz	FASTQ	DNA	115272	25820790	222	224.0	224
rawreads/M19_1.fq.gz	FASTQ	DNA	137625	30965180	223	225.0	225
rawreads/M19_2.fq.gz	FASTQ	DNA	137625	30827794	222	224.0	224
rawreads/M1_1.fq.gz	FASTQ	DNA	115676	26026923	224	225.0	225
rawreads/M1_2.fq.gz	FASTQ	DNA	115676	25911246	219	224.0	224
rawreads/M20_1.fq.gz	FASTQ	DNA	140287	31564112	224	225.0	225
rawreads/M20_2.fq.gz	FASTQ	DNA	140287	31424037	220	224.0	224
rawreads/M21_1.fq.gz	FASTQ	DNA	118752	26718778	224	225.0	225
rawreads/M21_2.fq.gz	FASTQ	DNA	118752	26600163	222	224.0	224
rawreads/M22_1.fq.gz	FASTQ	DNA	126665	28499234	223	225.0	225
rawreads/M22_2.fq.gz	FASTQ	DNA	126665	28372779	221	224.0	224
rawreads/M23_1.fq.gz	FASTQ	DNA	94158	21185221	224	225.0	225
rawreads/M23_2.fq.gz	FASTQ	DNA	94158	21091296	223	224.0	224
rawreads/M24_1.fq.gz	FASTQ	DNA	115659	26022909	223	225.0	225
rawreads/M24_2.fq.gz	FASTQ	DNA	115659	25907528	223	224.0	224
rawreads/M25_1.fq.gz	FASTQ	DNA	115826	26060506	223	225.0	225
rawreads/M25_2.fq.gz	FASTQ	DNA	115826	25944826	215	224.0	224
rawreads/M26_1.fq.gz	FASTQ	DNA	149260	33583041	223	225.0	225
rawreads/M26_2.fq.gz	FASTQ	DNA	149260	33433935	222	224.0	224
rawreads/M27_1.fq.gz	FASTQ	DNA	132201	29745006	223	225.0	225
rawreads/M27_2.fq.gz	FASTQ	DNA	132201	29612750	223	224.0	224
rawreads/M28_1.fq.gz	FASTQ	DNA	115848	26065620	223	225.0	225
rawreads/M28_2.fq.gz	FASTQ	DNA	115848	25949839	222	224.0	224
rawreads/M29_1.fq.gz	FASTQ	DNA	149181	33565447	223	225.0	225
rawreads/M29_2.fq.gz	FASTQ	DNA	149181	33416222	222	224.0	224
rawreads/M2_1.fq.gz	FASTQ	DNA	126706	28508639	224	225.0	225
rawreads/M2_2.fq.gz	FASTQ	DNA	126706	28381906	221	224.0	224
rawreads/M30_1.fq.gz	FASTQ	DNA	149225	33575359	217	225.0	225
rawreads/M30_2.fq.gz	FASTQ	DNA	149225	33426223	222	224.0	224
rawreads/M31_1.fq.gz	FASTQ	DNA	140964	31716670	223	225.0	225
rawreads/M31_2.fq.gz	FASTQ	DNA	140964	31575730	222	224.0	224
rawreads/M32_1.fq.gz	FASTQ	DNA	138447	31150360	224	225.0	225
rawreads/M32_2.fq.gz	FASTQ	DNA	138447	31011881	218	224.0	224
rawreads/M33_1.fq.gz	FASTQ	DNA	118028	26556089	224	225.0	225
rawreads/M33_2.fq.gz	FASTQ	DNA	118028	26437963	215	224.0	224
rawreads/M34_1.fq.gz	FASTQ	DNA	129315	29095677	224	225.0	225
rawreads/M34_2.fq.gz	FASTQ	DNA	129315	28966389	222	224.0	224
rawreads/M35_1.fq.gz	FASTQ	DNA	129858	29217845	223	225.0	225
rawreads/M35_2.fq.gz	FASTQ	DNA	129858	29088047	221	224.0	224
rawreads/M36_1.fq.gz	FASTQ	DNA	145222	32674724	223	225.0	225
rawreads/M36_2.fq.gz	FASTQ	DNA	145222	32529614	223	224.0	224
rawreads/M37_1.fq.gz	FASTQ	DNA	118002	26550232	224	225.0	225
rawreads/M37_2.fq.gz	FASTQ	DNA	118002	26432316	221	224.0	224
rawreads/M38_1.fq.gz	FASTQ	DNA	136091	30620222	224	225.0	225
rawreads/M38_2.fq.gz	FASTQ	DNA	136091	30484196	221	224.0	224
rawreads/M39_1.fq.gz	FASTQ	DNA	131780	29650244	223	225.0	225
rawreads/M39_2.fq.gz	FASTQ	DNA	131780	29518584	222	224.0	224
rawreads/M3_1.fq.gz	FASTQ	DNA	136249	30655859	224	225.0	225
rawreads/M3_2.fq.gz	FASTQ	DNA	136249	30519450	215	224.0	224
rawreads/M40_1.fq.gz	FASTQ	DNA	129172	29063461	223	225.0	225
rawreads/M40_2.fq.gz	FASTQ	DNA	129172	28934239	223	224.0	224
rawreads/M41_1.fq.gz	FASTQ	DNA	128995	29023668	223	225.0	225
rawreads/M41_2.fq.gz	FASTQ	DNA	128995	28894591	222	224.0	224
rawreads/M42_1.fq.gz	FASTQ	DNA	133787	30101775	220	225.0	225
rawreads/M42_2.fq.gz	FASTQ	DNA	133787	29968020	215	224.0	224
rawreads/M43_1.fq.gz	FASTQ	DNA	120032	27006975	223	225.0	225
rawreads/M43_2.fq.gz	FASTQ	DNA	120032	26886990	222	224.0	224
rawreads/M44_1.fq.gz	FASTQ	DNA	118226	26600596	224	225.0	225
rawreads/M44_2.fq.gz	FASTQ	DNA	118226	26482417	223	224.0	224
rawreads/M45_1.fq.gz	FASTQ	DNA	139461	31378444	224	225.0	225
rawreads/M45_2.fq.gz	FASTQ	DNA	139461	31238937	221	224.0	224
rawreads/M46_1.fq.gz	FASTQ	DNA	124711	28059743	224	225.0	225
rawreads/M46_2.fq.gz	FASTQ	DNA	124711	27935120	223	224.0	224
rawreads/M47_1.fq.gz	FASTQ	DNA	127923	28782421	222	225.0	225
rawreads/M47_2.fq.gz	FASTQ	DNA	127923	28654631	217	224.0	224
rawreads/M48_1.fq.gz	FASTQ	DNA	121309	27294269	223	225.0	225
rawreads/M48_2.fq.gz	FASTQ	DNA	121309	27173112	221	224.0	224
rawreads/M49_1.fq.gz	FASTQ	DNA	142452	32051395	223	225.0	225
rawreads/M49_2.fq.gz	FASTQ	DNA	142452	31909009	221	224.0	224
rawreads/M4_1.fq.gz	FASTQ	DNA	147958	33290361	224	225.0	225
rawreads/M4_2.fq.gz	FASTQ	DNA	147958	33142442	223	224.0	224
rawreads/M50_1.fq.gz	FASTQ	DNA	114997	25874096	224	225.0	225
rawreads/M50_2.fq.gz	FASTQ	DNA	114997	25759110	222	224.0	224
rawreads/M51_1.fq.gz	FASTQ	DNA	120453	27101675	223	225.0	225
rawreads/M51_2.fq.gz	FASTQ	DNA	120453	26981220	223	224.0	224
rawreads/M52_1.fq.gz	FASTQ	DNA	92577	20829595	223	225.0	225
rawreads/M52_2.fq.gz	FASTQ	DNA	92577	20737120	222	224.0	224
rawreads/M53_1.fq.gz	FASTQ	DNA	101044	22734647	223	225.0	225
rawreads/M53_2.fq.gz	FASTQ	DNA	101044	22633670	222	224.0	224
rawreads/M54_1.fq.gz	FASTQ	DNA	75862	17068742	219	225.0	225
rawreads/M54_2.fq.gz	FASTQ	DNA	75862	16992973	221	224.0	224
rawreads/M55_1.fq.gz	FASTQ	DNA	117249	26380757	224	225.0	225
rawreads/M55_2.fq.gz	FASTQ	DNA	117249	26263622	222	224.0	224
rawreads/M56_1.fq.gz	FASTQ	DNA	131799	29654462	223	225.0	225
rawreads/M56_2.fq.gz	FASTQ	DNA	131799	29522722	220	224.0	224
rawreads/M57_1.fq.gz	FASTQ	DNA	120355	27079588	223	225.0	225
rawreads/M57_2.fq.gz	FASTQ	DNA	120355	26959229	215	224.0	224
rawreads/M58_1.fq.gz	FASTQ	DNA	127440	28673720	223	225.0	225
rawreads/M58_2.fq.gz	FASTQ	DNA	127440	28546389	220	224.0	224
rawreads/M59_1.fq.gz	FASTQ	DNA	136691	30755146	223	225.0	225
rawreads/M59_2.fq.gz	FASTQ	DNA	136691	30618647	222	224.0	224
