file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M1.trim_1P.fastq	FASTQ	DNA	112443	25122726	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M10.trim_1P.fastq	FASTQ	DNA	111226	24873249	100	223.6	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M100.trim_1P.fastq	FASTQ	DNA	136505	30219050	100	221.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M101.trim_1P.fastq	FASTQ	DNA	129430	28653674	100	221.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M102.trim_1P.fastq	FASTQ	DNA	121313	26908867	100	221.8	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M103.trim_1P.fastq	FASTQ	DNA	143378	31798651	100	221.8	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M104.trim_1P.fastq	FASTQ	DNA	130545	28946422	100	221.7	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M105.trim_1P.fastq	FASTQ	DNA	110724	24567910	100	221.9	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M106.trim_1P.fastq	FASTQ	DNA	135533	30053390	100	221.7	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M107.trim_1P.fastq	FASTQ	DNA	123935	27487316	100	221.8	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M108.trim_1P.fastq	FASTQ	DNA	111508	24752082	100	222.0	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M109.trim_1P.fastq	FASTQ	DNA	141092	31334712	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M11.trim_1P.fastq	FASTQ	DNA	113608	25399293	100	223.6	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M110.trim_1P.fastq	FASTQ	DNA	113693	25258375	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M111.trim_1P.fastq	FASTQ	DNA	127966	28421659	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M112.trim_1P.fastq	FASTQ	DNA	138932	30805947	100	221.7	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M113.trim_1P.fastq	FASTQ	DNA	144322	32049861	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M114.trim_1P.fastq	FASTQ	DNA	115776	25720560	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M115.trim_1P.fastq	FASTQ	DNA	134276	29827839	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M116.trim_1P.fastq	FASTQ	DNA	112094	24908674	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M117.trim_1P.fastq	FASTQ	DNA	143644	31908750	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M118.trim_1P.fastq	FASTQ	DNA	106436	23633091	100	222.0	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M119.trim_1P.fastq	FASTQ	DNA	131992	29323028	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M12.trim_1P.fastq	FASTQ	DNA	133841	29915490	100	223.5	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M120.trim_1P.fastq	FASTQ	DNA	108360	24069399	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M121.trim_1P.fastq	FASTQ	DNA	122061	27108904	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M122.trim_1P.fastq	FASTQ	DNA	144028	31988818	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M123.trim_1P.fastq	FASTQ	DNA	114316	25395351	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M124.trim_1P.fastq	FASTQ	DNA	126616	28077066	100	221.7	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M125.trim_1P.fastq	FASTQ	DNA	134667	29906790	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M126.trim_1P.fastq	FASTQ	DNA	104778	23271817	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M127.trim_1P.fastq	FASTQ	DNA	125105	27785443	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M128.trim_1P.fastq	FASTQ	DNA	101999	22659145	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M129.trim_1P.fastq	FASTQ	DNA	141292	31388756	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M13.trim_1P.fastq	FASTQ	DNA	123173	27535652	100	223.6	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M130.trim_1P.fastq	FASTQ	DNA	115802	25723210	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M131.trim_1P.fastq	FASTQ	DNA	128246	28494802	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M132.trim_1P.fastq	FASTQ	DNA	56122	12460276	100	222.0	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M133.trim_1P.fastq	FASTQ	DNA	41460	9204437	100	222.0	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M134.trim_1P.fastq	FASTQ	DNA	30601	6796957	100	222.1	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M135.trim_1P.fastq	FASTQ	DNA	135633	30170065	100	222.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M136.trim_1P.fastq	FASTQ	DNA	131330	29206178	100	222.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M137.trim_1P.fastq	FASTQ	DNA	125747	27968857	100	222.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M138.trim_1P.fastq	FASTQ	DNA	131344	29189970	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M139.trim_1P.fastq	FASTQ	DNA	119152	26470298	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M14.trim_1P.fastq	FASTQ	DNA	130085	29088103	100	223.6	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M140.trim_1P.fastq	FASTQ	DNA	109602	24326277	100	222.0	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M141.trim_1P.fastq	FASTQ	DNA	127343	28311088	100	222.3	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M142.trim_1P.fastq	FASTQ	DNA	108501	24128616	100	222.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M143.trim_1P.fastq	FASTQ	DNA	110470	24553703	100	222.3	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M144.trim_1P.fastq	FASTQ	DNA	138049	30678669	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M145.trim_1P.fastq	FASTQ	DNA	143833	31962117	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M146.trim_1P.fastq	FASTQ	DNA	134243	29828687	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M147.trim_1P.fastq	FASTQ	DNA	118014	26218925	100	222.2	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M148.trim_1P.fastq	FASTQ	DNA	114244	25544653	100	223.6	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M15.trim_1P.fastq	FASTQ	DNA	137471	30709445	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M16.trim_1P.fastq	FASTQ	DNA	134134	29971649	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M17.trim_1P.fastq	FASTQ	DNA	141797	31678423	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M18.trim_1P.fastq	FASTQ	DNA	111988	25010113	100	223.3	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M19.trim_1P.fastq	FASTQ	DNA	133682	29850246	100	223.3	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M2.trim_1P.fastq	FASTQ	DNA	123238	27542883	100	223.5	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M20.trim_1P.fastq	FASTQ	DNA	136759	30541364	100	223.3	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M21.trim_1P.fastq	FASTQ	DNA	115565	25811343	100	223.3	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M22.trim_1P.fastq	FASTQ	DNA	123234	27534222	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M23.trim_1P.fastq	FASTQ	DNA	91532	20457632	100	223.5	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M24.trim_1P.fastq	FASTQ	DNA	112678	25176072	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M25.trim_1P.fastq	FASTQ	DNA	112692	25184160	100	223.5	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M26.trim_1P.fastq	FASTQ	DNA	145551	32535253	100	223.5	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M27.trim_1P.fastq	FASTQ	DNA	128874	28791799	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M28.trim_1P.fastq	FASTQ	DNA	112926	25224952	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M29.trim_1P.fastq	FASTQ	DNA	145414	32488489	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M3.trim_1P.fastq	FASTQ	DNA	132973	29729315	100	223.6	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M30.trim_1P.fastq	FASTQ	DNA	145325	32448080	100	223.3	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M31.trim_1P.fastq	FASTQ	DNA	137026	30594053	100	223.3	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M32.trim_1P.fastq	FASTQ	DNA	134918	30140936	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M33.trim_1P.fastq	FASTQ	DNA	115011	25688465	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M34.trim_1P.fastq	FASTQ	DNA	125905	28133788	100	223.5	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M35.trim_1P.fastq	FASTQ	DNA	126605	28303625	100	223.6	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M36.trim_1P.fastq	FASTQ	DNA	141604	31640728	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M37.trim_1P.fastq	FASTQ	DNA	115068	25711189	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M38.trim_1P.fastq	FASTQ	DNA	131724	29234940	100	221.9	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M39.trim_1P.fastq	FASTQ	DNA	127463	28288194	100	221.9	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M4.trim_1P.fastq	FASTQ	DNA	144383	32259278	100	223.4	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M40.trim_1P.fastq	FASTQ	DNA	126192	28218523	100	223.6	225
/gpfs/group/evk5387/default/Novogene/metformin/trimmed/M41.trim_1P.fastq	FASTQ	DNA	126076	28199357	100	223.7	225
