"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"Control hens: Age"	"Lactobacillus"	-0.386885901455751	0.228720443031813	-1.6915230502677	0.108985088371029	1
"Control hens: Age"	"Ligilactobacillus"	0.176767145794709	0.148621935293433	1.18937453913319	0.250639875806345	1
"Control hens: Age"	"Romboutsia"	0.499492172623841	0.368930143923279	1.35389363230702	0.193496833727721	1
"Control hens: Age"	"Limosilactobacillus"	-1.07456958038097	0.232889124094596	-4.61408227867481	0.000247522642887207	0.198265636952653
"Control hens: Age"	"Corynebacterium"	-0.360100504400087	0.33279252189787	-1.08205707972788	0.294337759212654	1
"Control hens: Age"	"Family XI Family"	-0.418955322575749	0.379445149619359	-1.10412617738302	0.28492214882228	1
"Control hens: Age"	"Peptoniphilus"	0.135686099201306	0.285207831638393	0.475744647059125	0.640312357995382	1
"Control hens: Age"	"Actinomyces"	-0.00209669832872464	0.283155200583124	-0.00740476715386738	0.994178106584889	1
"Control hens: Age"	"Gallibacterium"	1.41867963374987	0.487704510644176	2.90889176291609	0.00977654319700951	1
"Control hens: Age"	"HT002"	-0.113950145771718	0.345472332550841	-0.329838702075942	0.745551376121389	1
"Control hens: Age"	"Lactobacillaceae Family"	0.0352705952648678	0.316196289490572	0.111546518530286	0.912489431187891	1
"Control hens: Age"	"Bacteroides"	-0.0867202183963735	0.584299523590469	-0.148417403908676	0.88375964079876	1
"Control hens: Age"	"Actinobacteria Class"	-0.243748406814512	0.344212672905741	-0.708133157204412	0.488459099984709	1
"Control hens: Age"	"Aeriscardovia"	0.180714596029294	0.61518561461517	0.293756212330063	0.772500390666705	1
"Control hens: Age"	"Enterococcus"	0.869941650553608	0.502771376106653	1.73029271731863	0.101688508095771	1
"Control hens: Age"	"Helcococcus"	0.122785919409366	0.278866933739152	0.440302899174909	0.665264929763956	1
"Control hens: Age"	"Gallicola"	0.586056827456044	0.294711556833122	1.98857769187482	0.0630926463357315	1
"Control hens: Age"	"Aerococcaceae Family"	0.267576964103654	0.273698825718342	0.977632853927593	0.341964125185108	1
"Control hens: Age"	"W5053"	0.114216970771181	0.298765309895032	0.382296628786355	0.706978550883796	1
"Control hens: Age"	"Clostridium sensu stricto 1"	0.737846133404726	0.322565110592225	2.28743316984918	0.0352598154123128	1
"Control hens: Age"	"Brevibacterium"	-0.751879164083919	0.655906104626139	-1.14632133895519	0.26754199257313	1
"Control hens: Age"	"Erysipelatoclostridium"	-0.178072952331769	0.315343588872283	-0.564695013995957	0.579656980232925	1
"Control hens: Age"	"Bifidobacterium"	-0.553174731919836	0.414377417766526	-1.3349538565625	0.199494791692016	1
"Control hens: Age"	"Rikenellaceae RC9 gut group"	0.398898073429004	0.655636738478282	0.608413241690569	0.550956805578674	1
"Control hens: Age"	"CAG-56"	-0.144100315246709	0.488149671197706	-0.295196993358922	0.771418289743793	1
"Control hens: Age"	"[Ruminococcus] torques group"	-1.05292358763627	1.15984020350807	-0.90781780494553	0.376664166702013	1
"Control hens: Age"	"Faecalibacterium"	-0.222254561196117	0.424493461795219	-0.523575935083153	0.607332120890913	1
"Control hens: Age"	"Subdoligranulum"	0.234278682160034	0.980461154243656	0.238947439320796	0.814003170823101	1
"Control hens: Age"	"Varibaculum"	-0.282224619621477	0.41219152374278	-0.684692923956374	0.502766672791017	1
"Control hens: Age"	"Terrisporobacter"	0.666422538853613	0.341276014264721	1.95273769910089	0.0675164076766617	1
"Control hens: Age"	"Muribaculaceae Family"	-0.35847423873746	0.739202003747606	-0.484947601494677	0.633903364974155	1
"Control hens: Age"	"Colidextribacter"	0.836604185331862	0.979743584986327	0.853901161642755	0.405031994167587	1
"Control hens: Age"	"Jeotgalicoccus"	-1.34947720306277	1.1127063613864	-1.21278825204285	0.241795350953879	1
"Control hens: Age"	"Olsenella"	-0.666967073532876	0.521390037725749	-1.27920946944464	0.218008793687484	1
"Control hens: Age"	"Acinetobacter"	-0.326954881399664	0.764664541438486	-0.427579498827809	0.674324355732201	1
"Control hens: Age"	"Fournierella"	0.0768133427167444	0.23176432580834	0.331428671987535	0.744371349589363	1
"Control hens: Age"	"Asinibacterium"	0.414238790615526	0.371598444313841	1.11474845213742	0.280470170229377	1
"Control hens: Age"	"Lachnospiraceae Family"	-0.468082427519523	0.531996932632228	-0.879859260096731	0.391204072070292	1
"Control hens: Age"	"Fusobacterium"	0.184788857913821	0.601977431789575	0.306969743640515	0.762594697851723	1
"Control hens: Age"	"Alistipes"	-0.057327299077857	0.622210436475127	-0.0921349043944373	0.927667889671497	1
"Control hens: Age"	"Clostridia UCG-014 Order"	-0.770615272161664	0.759287595400552	-1.01491882236682	0.32437243679729	1
"Control hens: Age"	"Actinomycetaceae Family"	0.377438337927663	0.445818605488194	0.846618632065275	0.408968012331054	1
"Control hens: Age"	"Anaerosporobacter"	0.115470355081678	0.285390402773955	0.404604898971103	0.690813251226464	1
