"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"Metformin-treated hens: Age"	"Lactobacillus"	-0.00730108864381117	0.153358060376701	-0.0476081180596385	0.962197945399523	1
"Metformin-treated hens: Age"	"Ligilactobacillus"	0.541794635787763	0.151078124845735	3.58618851234079	0.000705000559672952	0.556950442141632
"Metformin-treated hens: Age"	"Romboutsia"	0.176532319836804	0.158024250389596	1.11712170379912	0.268712356126772	1
"Metformin-treated hens: Age"	"Limosilactobacillus"	-0.453672631375376	0.177807615352051	-2.55148032032894	0.0134845587969432	1
"Metformin-treated hens: Age"	"Corynebacterium"	0.334144417955893	0.259630628785293	1.28699922470326	0.2033890266907	1
"Metformin-treated hens: Age"	"Family XI Family"	0.815677482323001	0.297391000323371	2.74277796381217	0.00816650202507833	1
"Metformin-treated hens: Age"	"Peptoniphilus"	0.580327104510554	0.226537073687346	2.56173126572426	0.0131343080887091	1
"Metformin-treated hens: Age"	"Actinomyces"	0.466168966478783	0.257329041603121	1.81156764729943	0.0754168139903348	1
"Metformin-treated hens: Age"	"Gallibacterium"	0.430435286062953	0.420198752690584	1.02436117029578	0.310069444346298	1
"Metformin-treated hens: Age"	"HT002"	0.181620718425808	0.133221702948103	1.36329677827762	0.178245166334632	1
"Metformin-treated hens: Age"	"Lactobacillaceae Family"	0.116798986748378	0.158605794029319	0.736410592457845	0.464554684221443	1
"Metformin-treated hens: Age"	"Bacteroides"	-0.539181113881256	0.525229111592314	-1.0265636499977	0.309039900729657	1
"Metformin-treated hens: Age"	"Actinobacteria Class"	0.211434116329354	0.223607086092167	0.945560894444125	0.348434771675682	1
"Metformin-treated hens: Age"	"Aeriscardovia"	-0.332012080052465	0.249555255732753	-1.33041509816173	0.188774115846558	1
"Metformin-treated hens: Age"	"Enterococcus"	-0.635925223163574	0.278000785963425	-2.28749433552767	0.0259662165166225	1
"Metformin-treated hens: Age"	"Helcococcus"	0.580468290068132	0.264129212029368	2.19766789749705	0.0321246874331527	1
"Metformin-treated hens: Age"	"Gallicola"	1.11066033642687	0.449507922162537	2.47083595564588	0.0165492351521439	1
"Metformin-treated hens: Age"	"Aerococcaceae Family"	0.375729055506676	0.30415673567941	1.2353139399244	0.221871263005631	1
"Metformin-treated hens: Age"	"W5053"	0.654351959106282	0.321584336609941	2.03477559263082	0.0466182415492895	1
"Metformin-treated hens: Age"	"Clostridium sensu stricto 1"	-0.355536177664198	0.299221220374797	-1.18820509193453	0.239767497698795	1
"Metformin-treated hens: Age"	"Brevibacterium"	0.0818421169639322	0.321943135004254	0.254212958952676	0.800262177823974	1
"Metformin-treated hens: Age"	"Erysipelatoclostridium"	-0.199602655452063	0.40313133596099	-0.495130588090473	0.622445198566167	1
"Metformin-treated hens: Age"	"Bifidobacterium"	-0.229645105815513	0.414453366680249	-0.554091543893005	0.581722197887267	1
"Metformin-treated hens: Age"	"Rikenellaceae RC9 gut group"	-0.829015509282239	0.307259324151831	-2.69809715806244	0.00919920649924356	1
"Metformin-treated hens: Age"	"CAG-56"	-0.491723950803791	0.234341560049686	-2.09832157257779	0.0404001655770751	1
"Metformin-treated hens: Age"	"[Ruminococcus] torques group"	-1.06493726212635	0.691189073834151	-1.54073219968445	0.129014170304758	1
"Metformin-treated hens: Age"	"Faecalibacterium"	-0.0309749561859673	0.435862316372349	-0.0710659192649864	0.943598483645325	1
"Metformin-treated hens: Age"	"Subdoligranulum"	-0.0767456854534408	0.390208601132025	-0.196678610442711	0.844791104379791	1
"Metformin-treated hens: Age"	"Varibaculum"	0.350893784873561	0.241930688566316	1.45038972506118	0.152528188571066	1
"Metformin-treated hens: Age"	"Terrisporobacter"	0.427237025246642	0.588199602261947	0.726347014863124	0.47065123958065	1
"Metformin-treated hens: Age"	"Muribaculaceae Family"	-0.427907188659042	0.409017826216096	-1.04618224740397	0.299971680863299	1
"Metformin-treated hens: Age"	"Colidextribacter"	-0.550290552112944	0.432687037823146	-1.27179809887872	0.208701289468851	1
"Metformin-treated hens: Age"	"Jeotgalicoccus"	1.44422375683741	0.645689422682882	2.23671583597663	0.0293048550727329	1
"Metformin-treated hens: Age"	"Olsenella"	-0.387023342634276	0.538133269201264	-0.719196089118823	0.475010725817783	1
"Metformin-treated hens: Age"	"Acinetobacter"	0.496184678504302	0.948017961422994	0.523391643086086	0.602766821641865	1
"Metformin-treated hens: Age"	"Fournierella"	0.0837625184594167	0.33898197791374	0.247100211565617	0.805734339737728	1
"Metformin-treated hens: Age"	"Asinibacterium"	-0.580341167583451	0.356437268045337	-1.62817196632097	0.109102197484089	1
"Metformin-treated hens: Age"	"Lachnospiraceae Family"	-0.468479651044169	0.350771170681228	-1.3355705662308	0.187092838638457	1
"Metformin-treated hens: Age"	"Fusobacterium"	-0.0394454734661494	0.705716412461649	-0.055894227156426	0.955625018462907	1
"Metformin-treated hens: Age"	"Alistipes"	-0.516073854163947	0.36444431962138	-1.4160567921599	0.162297187920471	1
"Metformin-treated hens: Age"	"Clostridia UCG-014 Order"	-0.556182385253834	0.273583003632648	-2.03295664521852	0.0468077900211439	1
"Metformin-treated hens: Age"	"Actinomycetaceae Family"	0.75459579977172	0.350868060238663	2.1506540072597	0.0358344320543459	1
"Metformin-treated hens: Age"	"Anaerosporobacter"	-0.129611265614483	0.588769714578182	-0.22013915187085	0.826563340969194	1
"Metformin-treated hens: Age"	"Streptococcus"	0.712664319125265	0.465743247039323	1.53016565168812	0.131605476332671	1
"Metformin-treated hens: Age"	"Porphyromonas"	-1.1176988760252	0.962251748513837	-1.16154517541947	0.250347292272042	1
"Metformin-treated hens: Age"	"Negativibacillus"	-0.0217386636436524	0.628851052563567	-0.0345688594382292	0.972546459135568	1
