"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"75 mg/kg versus 0 mg/kg"	"Lactobacillus"	-0.275581358874649	0.145792367034856	-1.89023173489435	0.0642004379960694	1
"75 mg/kg versus 0 mg/kg"	"Ligilactobacillus"	-0.000921503815660618	0.159442225038081	-0.00577954688879015	0.995410314237388	1
"75 mg/kg versus 0 mg/kg"	"Romboutsia"	0.377545210353366	0.197737837070507	1.90932203945745	0.0616404993658905	1
"75 mg/kg versus 0 mg/kg"	"Limosilactobacillus"	-0.402969252944462	0.189851444128678	-2.12255036981091	0.0384812708016261	1
"75 mg/kg versus 0 mg/kg"	"Corynebacterium"	0.559259051473052	0.237790369786148	2.35189949860463	0.0224260227310476	1
"75 mg/kg versus 0 mg/kg"	"Family XI Family"	-0.123458574308431	0.253809406036177	-0.486422375894269	0.628673111128599	1
"75 mg/kg versus 0 mg/kg"	"Peptoniphilus"	0.0613540874282478	0.196477990881285	0.312269517583366	0.756060997677373	1
"75 mg/kg versus 0 mg/kg"	"Actinomyces"	-0.00167173586282551	0.216087175094234	-0.00773639556394997	0.993856358329855	1
"75 mg/kg versus 0 mg/kg"	"Gallibacterium"	1.4222920930581	0.3880217929062	3.66549538984766	0.000572056528208922	0.451924657285048
"75 mg/kg versus 0 mg/kg"	"HT002"	-0.345160436810394	0.183517775494967	-1.88080111520238	0.0654980095760972	1
"75 mg/kg versus 0 mg/kg"	"Lactobacillaceae Family"	-0.369986549951619	0.204915198439211	-1.8055593375685	0.0766680472266099	1
"75 mg/kg versus 0 mg/kg"	"Bacteroides"	-0.359880840159654	0.352189094015896	-1.02183981921772	0.311498421172479	1
"75 mg/kg versus 0 mg/kg"	"Actinobacteria Class"	0.186669191710979	0.21056691307039	0.886507709065277	0.379348988571556	1
"75 mg/kg versus 0 mg/kg"	"Aeriscardovia"	0.643812384374859	0.306199360446256	2.10259219169029	0.0402677928906783	1
"75 mg/kg versus 0 mg/kg"	"Enterococcus"	-0.423475795977741	0.269044562743716	-1.57399871478217	0.121438908442794	1
"75 mg/kg versus 0 mg/kg"	"Helcococcus"	0.33896838684349	0.192740001571231	1.75868207990139	0.0844041585364644	1
"75 mg/kg versus 0 mg/kg"	"Gallicola"	0.208539009828263	0.267634055468214	0.779194596380618	0.439330556340503	1
"75 mg/kg versus 0 mg/kg"	"Aerococcaceae Family"	0.719885589051754	0.207983032974078	3.46127075251122	0.00107055445719981	0.845738021187846
"75 mg/kg versus 0 mg/kg"	"W5053"	-0.0865265700230357	0.239717717342596	-0.360951918707681	0.719570188300549	1
"75 mg/kg versus 0 mg/kg"	"Clostridium sensu stricto 1"	-0.824510658465558	0.238862659323217	-3.45181896911678	0.00110157461381906	0.870243944917056
"75 mg/kg versus 0 mg/kg"	"Brevibacterium"	1.12939715539946	0.345836341567861	3.26569830770039	0.00191719882425401	1
"75 mg/kg versus 0 mg/kg"	"Erysipelatoclostridium"	-0.524082399604011	0.268927022730461	-1.94879039779237	0.0566225893379114	1
"75 mg/kg versus 0 mg/kg"	"Bifidobacterium"	-0.427752952414565	0.296191652111377	-1.44417626008486	0.154575290370037	1
"75 mg/kg versus 0 mg/kg"	"Rikenellaceae RC9 gut group"	-0.681997968510771	0.371822935944354	-1.83420091280447	0.0722406192336196	1
"75 mg/kg versus 0 mg/kg"	"CAG-56"	-0.230816543621861	0.300375293796153	-0.768427192212761	0.445644012704198	1
"75 mg/kg versus 0 mg/kg"	"[Ruminococcus] torques group"	-0.952435220908796	0.860068602532379	-1.10739447772475	0.273124057249516	1
"75 mg/kg versus 0 mg/kg"	"Faecalibacterium"	-0.535114184188823	0.47141909411262	-1.135113513372	0.26143523205826	1
"75 mg/kg versus 0 mg/kg"	"Subdoligranulum"	-0.368781690344507	0.514606165290711	-0.716628978077197	0.476749224834171	1
"75 mg/kg versus 0 mg/kg"	"Varibaculum"	-0.330958534719023	0.247618302290015	-1.33656733633283	0.187073543814911	1
"75 mg/kg versus 0 mg/kg"	"Terrisporobacter"	-1.68647322699022	0.410239137479178	-4.11095157169353	0.000137622709205711	0.108721940272512
"75 mg/kg versus 0 mg/kg"	"Muribaculaceae Family"	-1.31861118846871	0.472216162474372	-2.79238893806451	0.00726183319008786	1
