"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"Dose response"	"Lactobacillus"	-0.390219532584495	0.142899496995733	-2.73072712492576	0.00856169372491234	1
"Dose response"	"Ligilactobacillus"	-0.102410495868239	0.172252656233627	-0.594536526213796	0.554683008157958	1
"Dose response"	"Romboutsia"	0.285369739490793	0.199515590771863	1.43031298149076	0.158496538376353	1
"Dose response"	"Limosilactobacillus"	-0.525396323468853	0.165213759722512	-3.18010027948817	0.00246008238255711	1
"Dose response"	"Corynebacterium"	0.563330252020021	0.265966463027897	2.11804994361614	0.0388779556294432	1
"Dose response"	"Family XI Family"	0.236352094498344	0.28553085236336	0.82776376893089	0.411516102278662	1
"Dose response"	"Peptoniphilus"	0.344232508224348	0.185390858089243	1.85679332720194	0.0689019776000624	1
"Dose response"	"Actinomyces"	0.731053954228736	0.225234332513143	3.24574831053377	0.00203255497825928	1
"Dose response"	"Gallibacterium"	1.16426850808157	0.393173357660398	2.9612090580339	0.00457708079610004	1
"Dose response"	"HT002"	-0.222466530841643	0.156070096594367	-1.42542700809523	0.159896857825541	1
"Dose response"	"Lactobacillaceae Family"	-0.277260257500632	0.169571243276397	-1.6350664897155	0.10796134985584	1
"Dose response"	"Bacteroides"	-0.51787074533404	0.366572136974365	-1.41273897576742	0.163578179135623	1
"Dose response"	"Actinobacteria Class"	0.41865545779928	0.210635589996252	1.98758176529773	0.0520356154382369	1
"Dose response"	"Aeriscardovia"	0.528127793981792	0.277159940989568	1.90549829133378	0.0621461752920996	1
"Dose response"	"Enterococcus"	-0.614492239087243	0.250905615259793	-2.44909719717108	0.0176615425056512	1
"Dose response"	"Helcococcus"	0.571127878784059	0.228030523117182	2.5046115361081	0.0153694925720439	1
"Dose response"	"Gallicola"	0.89548487293761	0.326935336099747	2.73902748971864	0.00837505049340716	1
"Dose response"	"Aerococcaceae Family"	0.791484017222115	0.242898101835474	3.25850227416855	0.00195807649098473	1
"Dose response"	"W5053"	0.527227948140903	0.26637334042271	1.97928196306822	0.0529892347046144	1
"Dose response"	"Clostridium sensu stricto 1"	-0.403188599514237	0.298452687653732	-1.35092969905508	0.182457361452053	1
"Dose response"	"Brevibacterium"	0.488063996855054	0.325113532830547	1.50121095423437	0.139235575342246	1
"Dose response"	"Erysipelatoclostridium"	-0.844941450932773	0.263871782446986	-3.20209096667064	0.00230823216204236	1
"Dose response"	"Bifidobacterium"	-0.880077791714879	0.321744613661442	-2.73533030343422	0.00845771889183584	1
"Dose response"	"Rikenellaceae RC9 gut group"	0.0401946631138445	0.378475701122049	0.106201436432197	0.915823489422658	1
"Dose response"	"CAG-56"	-0.854337904688371	0.253612161625572	-3.36867877002563	0.0014137608302628	1
"Dose response"	"[Ruminococcus] torques group"	-2.19529925069023	0.700826694102963	-3.13244239861632	0.00282201095284673	1
"Dose response"	"Faecalibacterium"	-0.866655444956376	0.505709477081218	-1.71374175140718	0.0924199984301922	1
"Dose response"	"Subdoligranulum"	-1.13544712948992	0.421327659026865	-2.69492663290239	0.0094113271030353	1
"Dose response"	"Varibaculum"	0.567799775805042	0.219779748057947	2.58349452496113	0.0125746022059105	1
"Dose response"	"Terrisporobacter"	-0.788670508572484	0.486194035990758	-1.62213118670891	0.11070968845459	1
"Dose response"	"Muribaculaceae Family"	-0.244985875564823	0.471013291745394	-0.520125185123755	0.605142232452752	1
"Dose response"	"Colidextribacter"	-1.29433771778811	0.466732207404472	-2.77319134453139	0.00764558205302416	1
"Dose response"	"Jeotgalicoccus"	0.302592218048857	0.653815819452537	0.46280956967702	0.645395543645814	1
"Dose response"	"Olsenella"	-2.02836199232658	0.641779448708672	-3.16052811664172	0.00260309113409167	1
"Dose response"	"Acinetobacter"	0.270374530856785	1.01852246873539	0.265457600746388	0.791686801611376	1
"Dose response"	"Fournierella"	-0.858489846028524	0.301786537524144	-2.84469232150504	0.0063046889416477	1
"Dose response"	"Asinibacterium"	-0.154129857961617	0.351851879438413	-0.438053246177402	0.663127909933046	1
"Dose response"	"Lachnospiraceae Family"	-0.886647821241368	0.33130140085354	-2.67625738664876	0.00988445437171206	1
"Dose response"	"Fusobacterium"	-0.582748593761052	0.634253095178252	-0.918795033388486	0.362365495401322	1
"Dose response"	"Alistipes"	-0.939190949566126	0.372319706225537	-2.52253891980996	0.0146889804516524	1
"Dose response"	"Clostridia UCG-014 Order"	-0.503709986143565	0.337303425205304	-1.49334382192228	0.141276929594272	1
"Dose response"	"Actinomycetaceae Family"	0.820900607610527	0.339159981632697	2.42039347820093	0.0189636853945634	1
"Dose response"	"Anaerosporobacter"	-1.2547228714788	0.576284209823007	-2.17726401329677	0.0339344527808295	1
"Dose response"	"Streptococcus"	0.795510826068771	0.398884006915717	1.99434124275847	0.0512699174975951	1
"Dose response"	"Porphyromonas"	2.63134386366501	1.11539274876251	2.35911867508947	0.022036151628068	1
"Dose response"	"Negativibacillus"	-1.49403354816637	0.644939341053768	-2.31654894199083	0.0244255297163876	1
"Dose response"	"Facklamia"	0.0937027779590867	0.817852899576208	0.114571676651928	0.909217579060392	1
"Dose response"	"Candidatus Stoquefichus"	-1.25454655418329	0.552824323388968	-2.26934036927421	0.0273429133475981	1
"Dose response"	"Barnesiella"	-0.650102821705338	0.349075210943425	-1.86235745571375	0.0681000298784138	1
"Dose response"	"Globicatella"	0.256506081804416	0.262953199668134	0.975481880913203	0.333752788065218	1
"Dose response"	"Prevotellaceae Family"	-0.774825764049433	0.425276606585217	-1.82193365929751	0.0741098283129862	1
"Dose response"	"Desulfovibrio"	-1.3312350307514	0.457948330096692	-2.90695465680663	0.00531793453197816	1
"Dose response"	"Cerasicoccus"	-1.20961741583143	0.541964878760952	-2.23191107622485	0.0298715699256965	1
"Dose response"	"Parvimonas"	2.09437912040746	0.851006538950997	2.46106113707319	0.0171430122288118	1
"Dose response"	"Incertae Sedis"	-1.96989328605829	0.588285682453155	-3.34853175049887	0.00150116157017461	1
"Dose response"	"Moraxella"	0.692560621100335	0.513264350165713	1.34932539319502	0.182968648832052	1
"Dose response"	"Fastidiosipila"	1.33045359571196	0.801421150217248	1.66011789849982	0.102796755263586	1
"Dose response"	"Peptostreptococcaceae Family"	-0.3734072478373	0.905076495547093	-0.412569821086323	0.681586011625985	1
"Dose response"	"[Clostridium] innocuum group"	-1.78235307105264	0.654346103942317	-2.72386900497196	0.00871878329916803	1
"Dose response"	"Blautia"	-1.33365231412047	0.367217694012336	-3.63177574465043	0.000635197536679223	0.501806053976586
"Dose response"	"Rothia"	0.740558401051043	0.559641261791527	1.32327341032783	0.191424881189918	1
"Dose response"	"Sutterella"	-1.28011898885533	0.725017000072366	-1.76563996254924	0.0832163881970811	1
"Dose response"	"Intestinimonas"	-2.28348982463103	0.625377574846973	-3.65137784991697	0.000597724351910061	0.472202238008948
"Dose response"	"Erysipelotrichaceae Family"	-1.77579392520459	0.466451180762924	-3.80703061422229	0.000366769553127588	0.289747946970795
"Dose response"	"Parabacteroides"	-1.17995229271445	0.574689056282189	-2.05320125695078	0.0450029460773745	1
"Dose response"	"NK4A214 group"	0.535193756663748	1.08765681487744	0.492061235992029	0.624708092588201	1
"Dose response"	"Oribacterium"	1.24774494970019	0.708360293126961	1.76145523938417	0.083929075949544	1
"Dose response"	"Gemella"	1.10177436404507	0.894748458193437	1.23137889085568	0.223617291682318	1
"Dose response"	"Lachnoclostridium"	-0.999361524945965	0.397193889029459	-2.51605463363976	0.0149319027256676	1
"Dose response"	"Christensenellaceae R-7 group"	0.183707960493818	0.391264491115269	0.469523722866269	0.640621332511967	1
"Dose response"	"Enorma"	-0.79716214251417	0.365115966906241	-2.18331219329796	0.0334620407001895	1
"Dose response"	"Proteus"	-0.19512233442594	0.731600143477745	-0.266706255002088	0.790730312034364	1
"Dose response"	"Butyricicoccus"	-0.0239394808836525	0.97227597513052	-0.0246221047274555	0.980448859771973	1
"Dose response"	"RF39 Order"	-0.705264436595836	0.281206120485012	-2.5079981736508	0.0152387915088299	1
"Dose response"	"DTU089"	-1.38022674996949	0.71044216143422	-1.94277145261639	0.0573644709256083	1
"Dose response"	"Parasutterella"	-0.673767522999452	0.417273614546486	-1.6146899768195	0.112316282650349	1
"Dose response"	"Marvinbryantia"	-0.86336628464198	0.717786369640028	-1.2028178872705	0.234392696866814	1
"Dose response"	"[Eubacterium] hallii group"	-2.05365163967365	0.687159096206168	-2.98861159084111	0.00424055011888478	1
"Dose response"	"Aerococcus"	0.08538548642274	0.58878019424221	0.145020989594657	0.885244401250885	1
"Dose response"	"Peptostreptococcus"	1.28838855508315	0.881369940843133	1.46180224146363	0.149699690836655	1
"Dose response"	"Bacteroidales Order"	-0.648624088293475	0.622858686714269	-1.04136636789177	0.302432725480074	1
"Dose response"	"Prevotella_7"	2.2736327250789	0.856304775930069	2.65516763305379	0.0104450715439758	1
"Dose response"	"Staphylococcus"	-1.15638801123537	0.963067041833253	-1.20073469551416	0.235193196912731	1
"Dose response"	"Catenibacillus"	-0.490184834101377	0.722889804379256	-0.678090673200597	0.500664095234328	1
"Dose response"	"Ruminococcaceae Family"	-1.23103502015181	0.5259171063161	-2.34073964388583	0.0230408509154849	1
"Dose response"	"Alloiococcus"	0.9605503412617	1.02243763509339	0.939470837430548	0.351751119244156	1
"Dose response"	"Erysipelotrichaceae UCG-002"	0.926688382646905	0.643666296356277	1.43970313172025	0.155832153916928	1
"Dose response"	"[Ruminococcus] gauvreauii group"	2.03524062021964	0.888649592741344	2.29026225504841	0.0260138225281769	1
"Dose response"	"Paraprevotella"	-0.435573080678516	0.610120607680608	-0.713913077505052	0.478413238346805	1
